Surface Word,Ganda Lemma,English translation,Glossing,Match Type
Mulungi,lungi,I’m fine,mulungi,PanLex Exact Match
mubi,mubi,ugly,nan,PanLex Exact Match
Omukazi,omukazi,woman,umukazi,PanLex Exact Match
nyo,ekinyonyi,bird,nan,Substring Overlap
Ne,ne,and,nan,PanLex Exact Match
olulagala,gambalagala,mountain,lagala,Substring Overlap
ennyo,ekinyonyi,bird,nan,Substring Overlap
alekulira,ntaulira,honey badger,lira,Substring Overlap
mukka,okussa omukka,breathe,mukka,Substring Overlap
ate,ate,and,nan,PanLex Exact Match
okugwa,buta mwesigwa,unfaithful,nan,Substring Overlap
Omwana,omwana,babe,omwana,PanLex Exact Match
ewaka,wakati muttumbi,midnight,ewaka,Substring Overlap
Wange,jjajja wange,great aunt,wange,Substring Overlap
omulungii,lungi,I’m fine,omulungii,Substring Overlap
owa,buta mwesigwa,unfaithful,nan,Substring Overlap
okuwasa,kwasama,open the mouth,okuwasa,Substring Overlap
buti,faranga ey’ejjibuti,Djiboutian Franc,nan,Substring Overlap
ensanafu,nsanafu,ant,ensanafu,PanLex Exact Match
Okufa,faranga ey’egini,Guinean Syli,ukufa,Substring Overlap
Olubuto,kubeera lubuto,pregnant,ubuto,Substring Overlap
embi,embizzi,pig,embi,Substring Overlap
lujja,byʼokubajja,capentry,lu-jja,Substring Overlap
kukubira,kujjumbira,keen,kubira,Substring Overlap
Oluliimi,ekisumuluzo,key,uliimi,Substring Overlap
lwa,kusalwa,cut,nan,Substring Overlap
lukaawa,kaawa,coffee,lukaawa,PanLex Exact Match
Omukulu,mukulukusa,October,umukulu,Substring Overlap
Omuze,muzadde,parent,omuze,Substring Overlap
gwo,butasalawo,indecisive,nan,Substring Overlap
Omukwaano,omukwaano,love,umukwaano,PanLex Exact Match
ye,kkanisa ya yeso eyannamaddala,True Jesus Church,nan,Substring Overlap
mulabe,tetugalaba,I’m fine,nan-labe,Substring Overlap
wo,butasalawo,indecisive,nan,Substring Overlap
Omumpi,kumpi ne,close,omumpi,Substring Overlap
bwabeera,kubeera lubuto,pregnant,beera,Substring Overlap
obwoomu,ekisumuluzo,key,obwoomu,Substring Overlap
Omuwala,wala,girl,omuwala,PanLex Exact Match
maka,makansi,scissors,maka,Substring Overlap
Omuyizzi,yizzi,hunter,umuyizzi,PanLex Exact Match
naye,ekyangwe,sponge,naye,Substring Overlap
ekibuga,obugazi,width,nan-buga,Substring Overlap
ya,ekyangwe,sponge,nan,Substring Overlap
azaalwa,kusalwa,cut,zaalwa,Substring Overlap
kyotasimba,simba,genet,kyotasimba,Substring Overlap
muzinga,ekizinga,island,nan-zinga,Substring Overlap
njuki,enjuki,bee,nan,Substring Overlap
emu,emu,one,nan,PanLex Exact Match
njuba,njuba,sun,nan,PanLex Exact Match
bibi,akabina,buttock,nan,Substring Overlap
nomala,faranga ey’emalagase,Malagasy Ariary,nomala,Substring Overlap
Zimba,kasimba,genet,zimba,Substring Overlap
muti,muti,tree,muti,PanLex Exact Match
