Unnamed: 0.1,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass
31402,184467,grok-4.1-fast-gen-eng-literal-Kenya,kamba,bantu,Lũma ndwĩ maayo ta ngunyũ.,The aardvark has no teeth like its claws.,leteral_translate,lũm-a ndw-ĩ ma-ayo ta ngunyũ,,,
5247,31200,gemma3-4b-it-gen_eng_literal-Kenya,kamba,bantu,Ndũkavũthĩĩsye kakuthu kwaa matũ,Never underestimate a leafless bush.,leteral_translate,ndũkavũthĩĩsy-e ka-kuth-u kwa-a mat-ũ,,,
1534,8792,qwen3-4b-gen_eng_literal-Kenya,kamba,bantu,Vandũ vaĩ mũamba vayaa mũumo,"Where there was a baobab, a fig tree will appear.",leteral_translate,vandũ vaĩ mũ-amba vay-aa mũ-um-o,,,
6228,36428,smollm3-3b-gen_eng_literal-Kenya,kamba,bantu,Kũla ilĩkĩlaa nokw’o imilĩlaa mbya,Where they are mauled is where they twist horns.,leteral_translate,kũ-la ilĩkĩla-a nok-w o imilĩla-a mb-ya,,,
6269,36469,smollm3-3b-gen_eng_literal-Kenya,kamba,bantu,Ndunduli nĩ nyamũ nthũku ĩkaw’a kĩlĩo ngalĩko wa mũsyĩ,The owl is a bad creature; potshards are thrown at it.,leteral_translate,ndundul-i nĩ nyamũ nthũk-u ĩkaw a kĩlĩo ngalĩko wa mũsyĩ,,,
18765,106849,gemini3-flasth-gen-eng-literal-Kenya,kamba,bantu,Ndwĩa nĩ nyamũ nene ĩndĩ yevũthisye nĩ kũmĩa mbiivii ta mbũi,A giraffe is large but disgraced by round goat-like droppings.,leteral_translate,ndwĩ-a nĩ nyamũ nen-e ĩndĩ yevũthisy-e nĩ kũm-ĩa mbiivi-i ta mbũ-i,,,
5445,31398,gemma3-4b-it-gen_eng_literal-Kenya,kamba,bantu,Ngũngũũ yonaa vaasa tyo vaa ve kimba,The crow sees far beyond the carcass.,leteral_translate,ngũngũũ yon-aa va-as-a tyo vaa ve kimb-a,,,
17515,100052,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Nyamũ ya kũnwa nĩ ngũngĩ ndũmyathaa vala welele.,"When an animal gets your scent, you won’t hit where you aimed.",leteral_translate,nyamũ ya kũnwa nĩ ngũng-ĩ ndũmyatha-a va-la welel-e,,,
5351,31304,gemma3-4b-it-gen_eng_literal-Kenya,kamba,bantu,Mũsyĩmi ndasyĩmaa kĩthekanĩ kĩte kĩndũ,A hunter does not hunt in a forest without game.,leteral_translate,mũsyĩm-i ndasyĩma-a kĩthekanĩ kĩt-e kĩnd-ũ,,,
18631,106715,gemini3-flasth-gen-eng-literal-Kenya,kamba,bantu,Vayĩ ndia ĩtang’alw’a nĩ sua,There is no pond the sun cannot dry.,leteral_translate,vay-ĩ ndi-a ĩtang alw a nĩ sua,,,
6272,36472,smollm3-3b-gen_eng_literal-Kenya,kamba,bantu,Kambee noko kaula kĩndalĩ.,"The first word stands, said the grasshopper buzzard.",leteral_translate,kambe-e nok-o ka-ula kĩndalĩ,,,
1445,8703,qwen3-4b-gen_eng_literal-Kenya,kamba,bantu,Wamanthĩa suanĩ ĩĩa munyĩnĩ,"If you toil in the sun, eat in the shade.",leteral_translate,wamanthĩ-a suanĩ ĩĩa munyĩnĩ,,,
25868,149538,gpt-5-mini-gen-eng-literal-Kenya,kamba,bantu,Weũ waya nzei.,The wilderness ate nothing.,leteral_translate,weũ wa-ya nze-i,,,
17307,99844,kimi-k2-gen-eng-literal-Kenya,kamba,bantu,Matukũ ma kĩng’ei nĩ mwonza,The days of a thief are seven,leteral_translate,matukũ ma kĩng ei nĩ mwonz-a,,,
31493,184558,grok-4.1-fast-gen-eng-literal-Kenya,kamba,bantu,Kasũni katanamba kũũlũka kambaa ũtumbĩlĩla,A bird lies low before it flies.,leteral_translate,ka-sũn-i katanamb-a kũũlũk-a kamb-aa ũtumbĩlĩl-a,,,
29063,170030,smollm3-3b-it-gen-eng-literal-Kenya,kamba,bantu,Kaumaa nthĩ na ũtwii wako.,A snake is born with its venom.,leteral_translate,ka-umaa nth-ĩ na ũtw-ii wa-ko,,,
6160,36360,smollm3-3b-gen_eng_literal-Kenya,kamba,bantu,Ũtumo wĩ ngũ ndwĩ nyama,An upland with firewood has no meat.,leteral_translate,ũt-um-o wĩ ngũ ndw-ĩ ny-am-a,,,
41215,243614,qwen3-4b-gen-eng-literal-Kenya,kamba,bantu,Weũ waya nzei.,The wilderness ate nothing.,leteral_translate,weũ wa-ya nze-i,,,
36755,215909,minmax-gen-eng-literal-Kenya,kamba,bantu,Ngũngũũ ndĩsa ũtuma ndũũ na mũũngũu.,A crow cannot be a friend of the mongoose.,leteral_translate,ngũngũũ ndĩ-sa ũt-um-a ndũ-ũ na mũũngũ-u,,,
8886,54180,llama3.2-3b-gen_eng_literal-Kenya,kamba,bantu,Mbua yũlea kua ĩkwatasya ũkũngi.8,"When the rain fails to fall, it blames the wind.",leteral_translate,mbu-a yũle-a kua ĩkwatasy-a ũkũng-i 8,,,
