experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Noburwire bwondijo muntu tibukakuzibira kubyama,Someone’s illness does not prevent you from sleeping.,leteral_translate,noburwir-e bwondijo muntu tibukakuzibir-a kubyam-a,Luc,illnesses already-__ person preventing sleep,illnesses. already-ze person  preventing sleep
qwen3-4b-gen-eng-literal-Uganda,tooro,bantu,Mkurime ekyina namaririza ariwe akyirimu,A person who digs a hole ends up in it himself.,leteral_translate,mkurim-e eky-ina namaririz-a ari-we akyirim-u,Luc,__.sg.n1 __.prs.hab.3.sg __.pst.rec.1.sg __.pst.3.sg __.prs.hab.3.sg, of man. China's foreign policy. I'm going to go.  backwards. China's foreign policy.
minmax-gen-eng-literal-Uganda,tooro,bantu,Nomuyembe tigukagwa haare nekiti kyagwe,The mango does not fall far from the tree.,leteral_translate,nomuyemb-e tigukagw-a ha-ar-e nekit-i kyagw-e,Luc,__.sg.n1 fell ___ n.sg.n9 __.det.poss;ps1p.n1,younger. fell ge n.sg.n9  ge;ps1p.n1
smollm3-3b-gen_eng_literal-Uganda,tooro,bantu,Mwana takarizibwa busha,A baby does not cry for nothing.,leteral_translate,A child is buried in the forest.,mw-an-a takarizibw-a bu-sha,child cry does,child cry does
minmax-gen-eng-literal-Uganda,tooro,bantu,Khuti murungi nigukurira omumiti endijo,A good tree grows among others.,leteral_translate,khut-i mu-rung-i nigukurir-a omum-it-i endijo,Luc,__ good __.prs wood endijo,They're the ones who do it. good China's foreign policy. wood endijo
qwen3-4b-gen_eng_literal-Uganda,tooro,bantu,Khushuma tayine biiro makumyana,A thief has forty days.,leteral_translate,khushum-a ta-yin-e bi-iro makumyan-a,Luc,__.prs.hab.3.sg __.pt.rec.1.pl __ __.pst.rec.2.pl,It's the only thing that makes sense.  of man. They're the ones who do it.  muhereze
llama3.2-3b-gen_eng_literal-Uganda,tooro,bantu,Momurungi timurungi hatariho nkojo mbi,Even the pretty one is not without an ugly scar.,leteral_translate,momurung-i timurung-i hatariho nkojo mbi,Luc,good (animate) good (inanimate) ___ scar(?) bad,good ( animate) good (inanimate) They're the ones who do it. Scar(?) bad
qwen3-4b-gen_eng_literal-Uganda,tooro,bantu,Hakenyanja kache tikakahabura ekyenyanja ekyihango,A small fish cannot advice a big one.,leteral_translate,hakenyanj-a ka-ch-e tikakahabur-a ekyenyanj-a ekyihango,Luc,usual small fish ___ various-pst-___ big fish big __,usual small fish nigwotsya  nigwotsya various-pst-ge big fish big ge
kimi-k2-gen-eng-literal-Uganda,tooro,bantu,"Otakayoreka omushaho mugyenzi wawe oburugo bwomubazi gwawe, muhereze omubazi gumazire okujungwa","Don’t expose your source of herbs to another medicine man, give him a prepared sample.",leteral_translate,otakayorek-a omushaho mugyenz-i wa-we oburugo bwomubaz-i gwa-we muherez-e omubaz-i gumazir-e okujungw-a,Luc,fut.3.sg.__ __.sg.n1 __.sg.n1 your __.sg.n14 medacine of man your offor medicine has been knead, fut.3.sg.ge This is a museum. This is a museum. your Toys and games. medacine of man your offor  offor medicine has been knead
minmax-gen-eng-literal-Uganda,tooro,bantu,Bakiri arikurya munonga kusingaho omushuma,Better a glutton than a thief.,leteral_translate,bak-ir-i arikur-ya mun-ong-a kusingaho omu-sh-um-a,Luc,hard/work __.pst.rec.1.sg __.sg.n1 __.nfin __.sg.n1,hard/work I'm going to go. I'm going to try and make it work. kuba I'm going to try and make it work.
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Mtakahikyire ahakuza takaruha,He who has not reached his destination can never get tired.,leteral_translate,mtakahikyir-e ahakuz-a takaruh-a,,,
kimi-k2-gen-eng-literal-Uganda,tooro,bantu,Kubuza tibushema,Asking is not stupidity.,leteral_translate,kubuz-a tibushem-a,,,
gemma3-4b-it-gen-eng-literal-Uganda,tooro,bantu,Tura owomuntu okusingaho kutura omwitagyi ryekiti,Take shelter in a person rather than in a tree branch.,leteral_translate,tur-a owomunt-u o-kusingaho kutur-a omwitagy-i ryekit-i,,,
llama3.2-3b-it-gen-eng-literal-Uganda,tooro,bantu,Zokureberera ente yamutahi wawe kusinga okwokureberera eyawe,You do not look at your neighbor’s cow better than your own.,leteral_translate,zokureberer-a ente yamutah-i wa-we ku-sing-a okwokureberer-a e-ya-we,,,
minmax-gen-eng-literal-Uganda,tooro,bantu,Khutumwa tashemereire kuribwa,A messenger should not be beaten.,leteral_translate,khutumw-a tashemereir-e kuribw-a,,,
llama3.2-3b-gen_eng_literal-Uganda,tooro,bantu,Momanya akaze komuntu omubwire bwenjara,You know someone true character during famine.,leteral_translate,momany-a aka-ze komunt-u omubwir-e bwenjar-a,,,
smollm3-3b-gen_eng_literal-Uganda,tooro,bantu,Khukono gumwe tigukachiriza enyungu yamizi gukagita ahamutwe,One hand does not raise the water pot to the head.,leteral_translate,khukono gumwe tigukachiriz-a enyung-u yamiz-i gukagit-a ahamutw-e,,,
minmax-gen-eng-literal-Uganda,tooro,bantu,Omuteguzi webintu niwe akumaririza narya amagufa,He who dishes out end up eating the bones.,leteral_translate,omuteguz-i webint-u ni-we akumaririz-a nar-ya amaguf-a,,,
qwen3-4b-gen-eng-literal-Uganda,tooro,bantu,Omukumi wobusingye namaririza ariiwe ayine omushango,A peacemaker may end up being the victim.,leteral_translate,omu-kum-i wobusingy-e namaririz-a ari-iw-e a-yin-e omushango,,,
gemma3-4b-it-gen_eng_literal-Uganda,tooro,bantu,Habanyabwengye babiri nibabasa kwotsyeshohora,Two geniuses will successfully roast a fly.,leteral_translate,habanyabwengy-e babiri nibabas-a kwotsyeshohor-a,,,
llama3.2-3b-gen_eng_literal-Uganda,tooro,bantu,"Khumutego gwomuzeyi, nigutegwa omurundi gumwe",The old man’s trap is only triggered once.,leteral_translate,khumutego gwomuzey-i nigutegw-a omurund-i gumwe,,,
grok-4.1-fast-gen-eng-literal-Uganda,tooro,bantu,Nabafu bonka nibo bakusingwa omurinyaruju yamateka,Only the dead are defeated in a court case.,leteral_translate,nabaf-u bonk-a nib-o bakusingw-a omurinyaruj-u yamatek-a,,,
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Omuntu akwegura oruhu rweye takabura ahokubyama,A person who carries his skin will never lack where to sleep.,leteral_translate,omuntu akwegur-a oruh-u rwe-ye takabur-a ahokubyam-a,,,
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Omuntu arikukukyira aryaguma nakukyira,A person who is older than you always remains older.,leteral_translate,omuntu arikukukyir-a aryagum-a na-kukyir-a,,,
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Okwenda kwombeka enju entsya nabanza yashenya enju enkuru,He who wants to start a new house must demolish the old one.,leteral_translate,okw-end-a kwombek-a enj-u entsy-a nabanz-a yasheny-a enj-u en-kur-u,,,
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Hashabahebwa,He who asks is given.,leteral_translate,hashabahebw-a,,,
qwen3-4b-gen_eng_literal-Uganda,tooro,bantu,Bakuha nyina ekyitinisa naba atakukyiha nanyina wondijo muntu,A person who excretes by the roadside does not just do it once.,leteral_translate,baku-ha ny-in-a ekyitinis-a naba atakukyih-a nanyin-a wondijo muntu,,,
gemma3-4b-it-gen_eng_literal-Uganda,tooro,bantu,Muntu nabanza yakwetegyereza atakakwetsire kumutayayira,A person will always observe you before he invites you.,leteral_translate,muntu nabanz-a yakwetegyerez-a atakakwetsir-e kumutayayir-a,,,
kimi-k2-gen-eng-literal-Ethiopia,tooro,bantu,Nabariho nibo babarwa,Those who are present are the one who are counted.,leteral_translate,nabariho nib-o babarw-a,,,
smollm3-3b-gen_eng_literal-Uganda,tooro,bantu,Mtakuha nyina ekyitinisa naba atakukyiha nanyina wondijo muntu,He who does not respect his own mother cannot respect another person’s mother.,leteral_translate,mtakuh-a ny-in-a ekyitinis-a naba atakukyih-a nanyin-a wondijo muntu,,,
