,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation
16306,96235,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Nomuzana nomuro obwokuba tumanya nkoku gwocha,You are playing with fire because you do not know how it burns.,leteral_translate,nomuzan-a nomur-o obwokub-a tumany-a nkok-u gwoch-a,Luc,exorcise ___.sg.n9 become know since ___.prs
26441,152350,gpt-5-mini-gen-eng-literal-Uganda,runyoro,bantu,Tokusobera okukeikuza omukazi omugavu,You cannot make a lazy woman grow older,leteral_translate,tokusober-a okukeikuz-a omu-ka-zi omugav-u,Luc,___.prs.hab.1.sg ___.nfin ___.sg.n1
2044,12744,qwen3-4b-gen_eng_literal-Uganda,runyoro,bantu,"Ebiroto obyo owenzara bitangu “omugati, omugati”","The dreams of a hungry person cry, “bread, bread”",leteral_translate,ebiroto ob-yo owenzar-a bitang-u omugat-i omugat-i,Luc,dreams their ___.prs.hab.2.sg bread bread
24980,144541,gemma3-4b-it-gen-eng-literal-Uganda,runyoro,bantu,A chumbira enobiamare enguli.,The wife who is not loved cooks everything from the store.,leteral_translate,a chumbir-a enobiamar-e engul-i,Luc,___.cop.id.n6 ___.prs.hab.3.sg ___.prs.hab.3.sg ___.prs.hab.1.sg ___.sg.n10
10876,64754,llama3.2-3b-gen_eng_literal-Uganda,runyoro,bantu,Ekiringi kyetunda,A good thing sells itself,leteral_translate,ekir-ing-i kyetund-a,Luc,___.sg.n10 ___.prs.hab.3.sg
25051,144612,gemma3-4b-it-gen-eng-literal-Uganda,runyoro,bantu,Omugurusi amanyire ukubucha rundi nkobwa hungira oturo,The old man knows when dawn has come even when he is sleeping,leteral_translate,omugurus-i amany-ir-e ukubuch-a rund-i nkobw-a hung-ir-a otur-o,Luc,the elder kept on knowing ___.sg.n15 or ___.sg.n10 ___ sleep
12729,78162,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Amagezi machande ba karanga nibanena,"Wisdom is like peanuts, you eat them one after another",leteral_translate,amagez-i machand-e ba kar-ang-a nibanen-a,,
12793,78226,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,"Omunako nalya ameizi, muyonde nanywa amate",The poor person eat water but the rich drinks milk,leteral_translate,omun-ako na-ly-a ameiz-i muyond-e nany-wa amat-e,,
26408,152317,gpt-5-mini-gen-eng-literal-Uganda,runyoro,bantu,"Obwo muntu achwa okugura genteye, ondi agifumwa ameiso",When somebody breaks the leg of his cow another will gauge out its eyes.,leteral_translate,obw-o muntu a-chw-a okugur-a gentey-e ond-i agifumw-a ameiso,,
6872,40907,smollm3-3b-gen_eng_literal-Uganda,runyoro,bantu,Ebiro byaba ebibi kandi be kaba ebikoto,The days may be bad but more,leteral_translate,ebir-o by-ab-a ebibi kandi be kaba ebikoto,,
26345,152254,gpt-5-mini-gen-eng-literal-Uganda,runyoro,bantu,Abanyo charo bagonjanga okufuruka yenta emu ya tiga.,When the villagers wanted to migrate the person who had one cow opposed the idea,leteral_translate,aban-yo charo bagonjang-a okufuruk-a yent-a emu ya tiga,,
10921,64799,llama3.2-3b-gen_eng_literal-Uganda,runyoro,bantu,"Omusaiyo mpungu, nagwa nainuka.","A man is like a hawk, when he falls, he stand again.",leteral_translate,omusai-yo mp-ung-u nagwa na-inuk-a,,
16313,96242,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Okubamanyisize engo nko banabwe bukutwa embogo yagamba embuzi,"When the leopard was told that his cubs were killed by the buffalo, he said no, it is the goat",leteral_translate,okubamanyisiz-e eng-o nko banabw-e bukutw-a embogo yagamb-a embuz-i,,
17946,103222,kimi-k2-gen-eng-literal-Uganda,runyoro,bantu,Empaka titerwa babiri,Discussion doesn’t work when two people speak at the same time,leteral_translate,emp-ak-a titerw-a babiri,,
14452,85032,kimi-k2-gen-eng-literal-Uganda,runyoro,bantu,Omuntu omu arora omugongo gwente nondi avora ogwimbuzi,This person sees the back of a cow and another sees the back of a goat,leteral_translate,omuntu omu a-ror-a omug-ongo gwent-e nond-i avor-a ogwimbuz-i,,
3240,18534,gemma3-4b-it-gen_eng_literal-Uganda,runyoro,bantu,Tera ekisaka kandi orere kirarugamu,Beat the bush and see what will come out of it,leteral_translate,tera ekis-ak-a kandi o-rer-e kirarugam-u,,
40437,240728,qwen3-4b-gen-eng-literal-Uganda,runyoro,bantu,A chumbira enobiamare enguli.,The wife who is not loved cooks everything from the store.,leteral_translate,a chumbir-a enobiamar-e engul-i,,
40508,240799,qwen3-4b-gen-eng-literal-Uganda,runyoro,bantu,Omugurusi amanyire ukubucha rundi nkobwa hungira oturo,The old man knows when dawn has come even when he is sleeping,leteral_translate,omugurus-i amany-ir-e ukubuch-a rund-i nkobw-a hung-ir-a otur-o,,
38601,229043,minmax-gen-eng-literal-Uganda,runyoro,bantu,Enjura ekagamba “nkaba manyisa nehumuliko omuseija tekaniza enju yawe”,"The rain said; “I have warned you through lightening, oh man mend your hut”",leteral_translate,enj-ur-a e-kagamb-a nkab-a manyis-a nehumuliko omuseij-a tekaniz-a enj-u ya-we,,
40498,240789,qwen3-4b-gen-eng-literal-Uganda,runyoro,bantu,"Obwo muntu achwa okugura genteye, ondi agifumwa ameiso",When somebody breaks the leg of his cow another will gauge out its eyes.,leteral_translate,obw-o muntu a-chw-a okugur-a gentey-e ond-i agifumw-a ameiso,,
17953,103229,kimi-k2-gen-eng-literal-Uganda,runyoro,bantu,Entekereza eya Bantu beingi ekabokonyera okuita enzoka.,The idea of many people helped them to kill the snake,leteral_translate,entekerez-a eya bantu be-ing-i ekabokonyer-a oku-ita enzok-a,,
12810,78243,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Tikisemire okweha obugambe,It is not good to appoint a newly enriched person as leader,leteral_translate,tikisemir-e okwe-ha obugamb-e,,
26426,152335,gpt-5-mini-gen-eng-literal-Uganda,runyoro,bantu,Omuntu owabeire munaku nuwe uli oya bungire muno noweine obumanyi,The rich man who has become poor and the person who has travelled a lot has much experience.,leteral_translate,omuntu owabeir-e mun-ak-u nu-we uli oya bungir-e mun-o nowein-e obumany-i,,
16342,96271,kimi-k2-gen-eng-literal-Ethiopia,runyoro,bantu,Tambwa tambwa enzu ekahya naiwe ngu tandikele tu byame,When someone is crying that the house is burning and you say prepare the bed we sleep,leteral_translate,tambw-a tambw-a enz-u ekahy-a na-iwe ngu tandikel-e tu byam-e,,
35888,211734,llama3.2-3b-it-gen-eng-literal-Uganda,runyoro,bantu,Okubamanyisize engo nko banabwe bukutwa embogo yagamba embuzi,"When the leopard was told that his cubs were killed by the buffalo, he said no, it is the goat",leteral_translate,okubamanyisiz-e eng-o nko banabw-e bukutw-a embogo yagamb-a embuz-i,,
22326,128994,gemini3-flasth-gen-eng-literal-Uganda,runyoro,bantu,Omusaija uwempoka eyitirana owempaka,A rude person will meet a rude person,leteral_translate,omusaij-a uwempok-a eyitiran-a owempak-a,,
