Unnamed: 0.1,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation,final pass,Correction
31711,187015,grok-4.1-fast-gen-eng-literal-Uganda,ganda,bantu,Abakadde bali mu gandaalo mu kisikiziz kyomuti.,Old men sit in the shade because they planted a tree many years before.,leteral_translate,abakadd-e ba-li mu gandaalo mu kisikiziz kyomut-i,Luc,old person are inside airport inside shade tree,old person are inside airport inside shade tree,The elders are resting in the shade of a tree
17810,103086,kimi-k2-gen-eng-literal-Uganda,ganda,bantu,Addukana yanoonya akuyu.,Mtu anaye hara hahitaji yeyote amwelekeze kwenye mlango.,leteral_translate,addukan-a yanoony-a a-ku-yu,Luc,moving away he searched out ___.pst.rec.3.sg,moving away he searched for. out you begged,You seek the remedy when you feel the pain.
30361,178817,smollm3-3b-it-gen-eng-literal-Uganda,ganda,bantu,Amaka amalungi gakola ekibanja ekiningi.,Nyumba nzuri hutengeneza shamba nzuri.,leteral_translate,ama-ka ama-lung-i gak-ol-a ekibanj-a ekin-ing-i,Luc,family good make a lot,family good make a lot,"A peaceful, united, and well-managed family can build and accomplish much more together."
17842,103118,kimi-k2-gen-eng-literal-Uganda,ganda,bantu,"Ekyengela amangu, kivunda mangu.","Kinacho iva haraka, huoza haraka.",leteral_translate,ekyengel-a amang-u kivund-a mangu,Luc,ripen instantly quick,ripen instantly quick,What matures Quickly spoils quickly
24956,144517,gemma3-4b-it-gen-eng-literal-Uganda,ganda,bantu,Omuze gwo muntu gumalwa ntaana.,Tabia mbaya ya mtu humalizwa na kaburi.,leteral_translate,omu-ze gwo muntu gumalw-a nt-aan-a,Luc,the habit there person a child the grave,the habit there person a child the grave,A person's habits and behaviour stay with them until they die.
31773,187077,grok-4.1-fast-gen-eng-literal-Uganda,ganda,bantu,Ne ssanja lyaaliko olulagala.,"Tawi la ndizi lililo zeeka, hapo awali lilikuwa changa na la rangi ya kijani kibichi.",leteral_translate,ne ssanj-a lyaaliko olulagal-a,Luc,with the moon featured painful,with the moon featured painful,Things change with time; what is old and worn out was once young and fresh.
30390,178846,smollm3-3b-it-gen-eng-literal-Uganda,ganda,bantu,Engalo ensa zigwanira nyini zo.,Mikono mitupu hufurahisha mwenyewe pekee.,leteral_translate,engalo ens-a zigwanir-a nyin-i zo,Luc,hands sense appropriate own there,the hands. sense appropriate own there,It's better for unproductive people to look after themselves rather than draining the resources and patience of those around them.
40397,240688,qwen3-4b-gen-eng-literal-Uganda,ganda,bantu,"Obulamu bulinga kisikiriize ria na mukka, buyita mangu ate tebudda.",Maisha ni kama kivuli na ukungu. Hupita haraka na haipo tena.,leteral_translate,obulam-u bul-ing-a kisikiriiz-e ria na muk-ka buyit-a mangu ate tebudd-a,Luc,life is like shade ___.prs four smoke pass quick and not at all,life is like shade a good one four smoke pass quick and not at all,"Life is like a shadow and smoke; they pass quickly and never return.Life is fleeting. It passes quickly and, once it is gone, it cannot be recovered."
26318,152227,gpt-5-mini-gen-eng-literal-Uganda,ganda,bantu,Oluliimi lwa mukabalo lukaawa.,Ulimi wa wake wenza ni mchungu.,leteral_translate,oluliim-i lwa mukabalo luka-aw-a,Luc,the tongue for the sword coffee,the tongue for the sword coffee,Repeated
40377,240668,qwen3-4b-gen-eng-literal-Uganda,ganda,bantu,"Enkima bwelemerelwa okutuukirira elyenvu, nti ago tegengedde.","Nyani akishindwa kufikia ndizi zilizoiva kwa mikono yake, husema hayajaiva.",leteral_translate,enk-im-a bwelemerelw-a okutuukirir-a elyenv-u nti ago tegengedd-e,Luc,monkey disability approachable yellow that those unrefined,monkey disability approachable yellow that those unrefined,"When someone fails to achieve something, they may make excuses or find reasons to justify their failure rather than admitting they could not do it."
24943,144504,gemma3-4b-it-gen-eng-literal-Uganda,ganda,bantu,Omwana omubi takaddiwa ewaka.,Msichana asiye mrembo hazeekei kwao.,leteral_translate,omw-an-a omub-i takaddiw-a e-wak-a,,,,A badly behaved child may remain in their parents’ home because their behaviour drives others away.
26290,152199,gpt-5-mini-gen-eng-literal-Uganda,ganda,bantu,Enyana tesekerera nkunku.,Ndama hamchekelei ng’ombe asiye kuwa na pembe.,leteral_translate,eny-an-a tesekerer-a nkunk-u,,,,"young should not mock or look down on the old, because they too will grow old one day."
30434,178890,smollm3-3b-it-gen-eng-literal-Uganda,ganda,bantu,Sotta abudongo nga bukyaali bubisi.,Ufinyange udongo ungali na maji.,leteral_translate,sott-a abudongo nga bukyaal-i bubis-i,,,,"Do things while you still can, while they are manageable, and while you still have the opportunity to shape the outcome."
38534,228976,minmax-gen-eng-literal-Uganda,ganda,bantu,"Omwaana owegonjebwa, aweesa nyina ekitiibwa.",Mtoto wa tabia nzuri hufanya mamake aheshimiwe.,leteral_translate,omwa-an-a owegonjebw-a awees-a ny-in-a ekitiibw-a,,,,A well-raised child brings honour to their mother.
6745,40780,smollm3-3b-gen_eng_literal-Uganda,ganda,bantu,Abakadde bali mu gandaalo mu kisikiziz kyomuti.,Old men sit in the shade because they planted a tree many years before.,leteral_translate,abakadd-e ba-li mu gandaalo mu kisikiziz kyomut-i,,,,Repeated
10778,64656,llama3.2-3b-gen_eng_literal-Uganda,ganda,bantu,"Enjovu ebbiri wezilwanira, essubi lisesetera.",Wakati ndovu wawili wanapo pigana nyasi ndio hupondwa.,leteral_translate,enjov-u ebbir-i wezilwanir-a essub-i liseseter-a,,,,"When powerful people or opposing sides fight, the people who are weaker or uninvolved often suffer the consequences."
40364,240655,qwen3-4b-gen-eng-literal-Uganda,ganda,bantu,"Bwoyo kya enju, oyinza okusazamu omukka?","Ukiichoma nyumba, unaweza kuuficha moshi?",leteral_translate,bwo-yo kya enj-u oyinz-a okusazam-u omuk-ka,,,,"When you burn the house, you can clear the smoke — sometimes you have to take direct or decisive action to counter a problem and make it manageable."
1946,12646,qwen3-4b-gen_eng_literal-Uganda,ganda,bantu,"Bwosalawo okulya embwa, lya ensava.","Kama umeamua kumla mbwa, mle aliye mnono.",leteral_translate,bwosalawo o-ku-lya emb-wa lya ensav-a,,,,"If you decide to eat a dog, eat a fat one — if you choose to do something that is already considered wrong or unacceptable, at least make the choice worthwhile and beneficial rather than doing it for little or no gain."
22171,128839,gemini3-flasth-gen-eng-literal-Uganda,ganda,bantu,"Bwoba oli mulungi, nelwolifa entaanayo elyagalwa.",Kama wewe ni mtu mzuri hata baada ya kifo kaburi lako litapendwa.,leteral_translate,bwoba oli mu-lung-i nelwolif-a entaanayo elyagalw-a,,,,"If you are good, even when you die, your grave will be loved — when you live a good and admirable life, people will continue to remember, respect, and speak well of you even after you are gone."
24941,144502,gemma3-4b-it-gen-eng-literal-Uganda,ganda,bantu,"Obulamu bulinga masanda bwoseleera, ogenda mumaaso.",Maisha imejaa maganda ya ndizi. Ukiteleza unaendelea.,leteral_translate,obulam-u bul-ing-a masand-a bwoseleer-a og-end-a mumaaso,,,,Repeated
2010,12710,qwen3-4b-gen_eng_literal-Uganda,ganda,bantu,Toyonoona muzinga olwokwokebwa ne njuki emu.,Hakuna haja ya mtu kuuharibu mzinga kwa sababu ya kuumwa na nyuki mmoja.,leteral_translate,toyonoon-a muzing-a olwokwokebw-a ne njuki emu,,,,Repeated
1970,12670,qwen3-4b-gen_eng_literal-Uganda,ganda,bantu,Kyenkola banange sagala bakinkole.,Anaye dhulumu akidhulumiwa husema amekandamizwa.,leteral_translate,kyenkol-a banang-e sagal-a bakinkol-e,,,,"What I do to others, my friends, I do not want them to do to me — treat others the way you would want them to treat you, and do not do things to others that you would not want done to you."
10779,64657,llama3.2-3b-gen_eng_literal-Uganda,ganda,bantu,Enjovu telemelerwa sanga lyaayo.,Ndovu hawezi kushindwa kuzibeba pembe zake.,leteral_translate,enjov-u telemelerw-a sanga lyaa-yo,,,,"An elephant never fails to manage its tusks — whatever responsibility, burden, or possession is yours, you will find a way to handle it and make do with what you have. Like a parent with ten children: because they are yours, you find a way to provide for them and keep going."
6806,40841,smollm3-3b-gen_eng_literal-Uganda,ganda,bantu,"Omukazi omugumba, ufuna nyo abagenyi.",Mwanamke tasa hupata wageni wengi.,leteral_translate,omu-ka-zi omug-umb-a u-fun-a nyo abageny-i,,,,"A barren woman receives many visitors — when someone lacks something that is expected or desired, people tend to pay them more attention, often out of curiosity or concern."
30345,178801,smollm3-3b-it-gen-eng-literal-Uganda,ganda,bantu,"Ababi okulya, abalungi emilimo.","A crowd is bad for eating, but good for work.",leteral_translate,ababi o-ku-lya aba-lung-i emilimo,,,,Its vague I dont understand it
6811,40846,smollm3-3b-gen_eng_literal-Uganda,ganda,bantu,Okugezaako oba okugwa si bunafu.,Kujaribu na kushindwa sio uzembe.,leteral_translate,okugezaako oba okugwa si bunaf-u,,,,Trying and failing is not weakness — making an attempt and failing does not make you weak; what matters is having the courage to try and learn from the experience.
24878,144439,gemma3-4b-it-gen-eng-literal-Uganda,ganda,bantu,Abakazi abangi bafuula musajja waabwe okwogera,Polygamy makes a husband a double-tongued man,leteral_translate,aba-kaz-i abang-i ba-fuul-a musajj-a wa-abw-e okwoger-a,,,,"Many women make their shared man the centre of their talk — when many women are connected to the same man, he naturally becomes a common subject of their conversations, attention, and gossip."
1964,12664,qwen3-4b-gen_eng_literal-Uganda,ganda,bantu,"Essubi elyokya enyumba embii, iyelyokya ne nungi.",Tochi ya nyasi inayoichoma nyumba mbaya huchoma pia ile nzuri.,leteral_translate,essub-i elyoky-a enyumb-a emb-ii iyelyoky-a ne nung-i,,,,Repeated
35756,211602,llama3.2-3b-it-gen-eng-literal-Uganda,ganda,bantu,Ebbeere lya nyabo telifuna Bigenge.,Titi la mama halipatwi na ukoma.,leteral_translate,ebbeer-e lya ny-abo telifun-a bigeng-e,,,,"A mother’s breast does not get leprosy — something that has always been familiar, close, and nurturing to you does not easily become repulsive or unacceptable to you. It can also express the idea that we tend to remain attached to and accepting of what is naturally our own."
12709,78142,kimi-k2-gen-eng-literal-Ethiopia,ganda,bantu,Toyonoona muzinga olwokwokebwa ne njuki emu.,Hakuna haja ya mtu kuuharibu mzinga kwa sababu ya kuumwa na nyuki mmoja.,leteral_translate,toyonoon-a muzing-a olwokwokebw-a ne njuki emu,,,,Repeated
35787,211633,llama3.2-3b-it-gen-eng-literal-Uganda,ganda,bantu,"Obulamu bulinga masanda bwoseleera, ogenda mumaaso.",Maisha imejaa maganda ya ndizi. Ukiteleza unaendelea.,leteral_translate,obulam-u bul-ing-a masand-a bwoseleer-a og-end-a mumaaso,,,,Repeated
17895,103171,kimi-k2-gen-eng-literal-Uganda,ganda,bantu,Taata ye ngabo ya maka.,Baba ni ngao ya jamii.,leteral_translate,ta-ata ye ng-abo ya ma-ka,,,,A father is the shield of a home
