	experiment_config	language	language_family	african_proverb	label	Output Type	predict	morpheme_breaks
2537	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia athuri inyuagira thutha	The wise and patient take their share last.	figurative_translate	The underlying principle is that one should not be overly concerned with the opinions of others.	cia ath-ur-i inyu-ag-ir-a thuth-a
2538	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ciakorire wacu mugunda	Livelihood comes through effort and work.	figurative_translate	The underlying principle is that one should not rely on others for what they can provide for themselves.	ciakorir-e wac-u mug-und-a
2539	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia kionje itigayagwo gitanakua	It is unjust to dispose of a vulnerable person’s property prematurely.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	cia kionj-e itigayagwo gitanaku-a
2540	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia mucii iri gacuguma gacio gatathukagio ni muthuri ungi tiga mwenegwo	Family matters should be handled by rightful authority, not outsiders.	figurative_translate	The underlying principle is that actions should be consistent and reliable.	cia muci-i iri gacugum-a gacio gatathukagio ni muth-ur-i ung-i tiga mwenegwo
2541	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia mucii itiumaga ndira	Family matters should be kept private.	figurative_translate	The underlying principle is that one should not be overly concerned with minor details.	cia muci-i iti-umag-a nd-ir-a
2542	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia mucii ti como	Domestic issues should not be exposed publicly.	figurative_translate	The underlying principle is that one should not take more than is needed.	cia muci-i ti como
2543	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ciana cia ndigwa itiri maithori	Children of hardship learn endurance early and do not easily complain.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	ci-ana cia ndigwa it-iri maithor-i
2544	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ciathanaga ikigua, itiathanaga ikiumbuka	People agree easily when sharing gains, but disagree when facing effort or loss.	figurative_translate	Doing things properly is essential for achieving success.	ciathanag-a ikigu-a itiathanag-a ikiumbuk-a
2545	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia thuguri itiyuraga ikumbi	Lasting wealth comes from production, not purchase alone.	figurative_translate	The underlying principle is that actions should be guided by wisdom and careful thought.	cia thugur-i itiyurag-a ikumb-i
2546	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ciatura nguyu iriaga ng’umo	When the preferred option is unavailable, people settle for substitutes.	figurative_translate	A person's actions reveal their true character.	ciatur-a ngu-yu iri-aga ng umo
2547	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cia uthoni ciambaga nguhi	Major commitments start with small steps.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	cia uthon-i ciambag-a ngu-hi
2548	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ciigwatagirira mareru	Relying on weak support leads to failure.	figurative_translate	When you are in a place, you must respect it.	ciigwatagirir-a marer-u
2549	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cionje ikumi irugitwo ni umwe uri na hinya	One capable individual can outweigh many ineffective ones.	figurative_translate	The underlying principle is that a person's actions and behavior should be consistent and reliable.	cionj-e ikum-i irugit-wo ni umwe uri na hin-ya
2550	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cira munene ni ukia	Prolonged disputes drain resources.	figurative_translate	The underlying principle is that a person should not be overly concerned with minor details.	cira munene ni uki-a
2551	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cira munene ni wa uthoni igikua	Ending formal commitments has serious social consequences.	figurative_translate	The principle is that one should not rely on others for decision-making.	cira munene ni wa uthon-i igiku-a
2552	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cira wa kirimu utindaga kiharo	Frivolous disputes waste everyone’s time.	figurative_translate	The underlying principle is that actions should be consistent with one's intentions.	cira wa ki-rimu utindag-a ki-haro
2553	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cira wa mucii ndumagirio kiharo	Domestic disputes should remain private.	figurative_translate	The principle of taking what is not yours and using it for one's own benefit.	cira wa muci-i ndumagirio ki-haro
2554	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Cira wothe wambagiririo na nda	Material needs often drive conflicts.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	cira woth-e wambagiririo na nda
2555	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ciunagwo rukomo, kimenyi akamenya ikiunwo	Wisdom is conveyed indirectly and understood by the wise.	figurative_translate	The underlying principle is that actions should be consistent with one's intentions.	ciunagwo rukomo kimeny-i akameny-a ikiunwo
2556	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Ehera thakirio	Mind your own business.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	eher-a thakirio
2557	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gakiibatha ni koi ni karithoitha	Preparation reflects intention.	figurative_translate	The underlying principle is that a person's actions and behavior are determined by their character and values.	gakiibath-a ni koi ni ka-rithoith-a
2558	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gakiihotora niko koi uria kariina	Actions reveal expected outcomes.	figurative_translate	The underlying principle is that one should not rely on others for support when facing challenges.	gakiihotor-a nik-o koi uri-a ka-ri-in-a
2559	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gakunywo kagira thooko	Poor leadership drags others into trouble.	figurative_translate	A person should not be overly concerned with small details.	gakuny-wo kagira thooko
2560	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Garurira mbeu ti ya kinya kimwe	Diversify sources to avoid risk and failure.	figurative_translate	The underlying principle is that a person should not be overly concerned with minor details.	garurir-a mbe-u ti ya kinya kimwe
2561	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gatami kari mondo yene gatingikurutira wira	You cannot rely on what belongs to others to solve your own problems.	figurative_translate	The principle is that one should not rely on others for what they already have.	gatam-i ka-ri mondo yen-e gatingikurutir-a wir-a
2562	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gathutha konagia mundu njira	Small beginnings or minor efforts can lead to great outcomes.	figurative_translate	A person should not rely on others for their needs.	gathuth-a konagi-a mund-u nj-ira
2563	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gatitu ka muimwo ni iri noko kari miti	A capable person is often resented because of their success.	figurative_translate	The underlying principle is that actions should be consistent with one's intentions.	gatitu ka mu-im-wo ni iri nok-o ka-ri mit-i
2564	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gatitu ka ngoro gatiunagwo	One’s inner thoughts and intentions are not fully revealed.	figurative_translate	The principle is that one should not be overly concerned with the opinions of others.	gatitu ka ng-oro gatiunagwo
2565	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gatinyinyiraga gatari gakunye	Complaints arise from real causes; effects have reasons.	figurative_translate	The underlying principle is that one should not be overly concerned with the opinions of others.	gatinyinyirag-a gat-ar-i gakuny-e
2566	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gatuma kainagia murigwa	In difficult situations, differences disappear.	figurative_translate	A person who is always in a hurry.	gat-uma ka-inagi-a murig-wa
2567	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gatundu koragithirie Watatua	Hidden unity creates power and effectiveness.	figurative_translate	The principle of acting with integrity and honesty in all dealings.	gat-und-u koragithiri-e watatu-a
2568	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Giathi githaragio ni gaka kamwe	One person can ruin a collective effort.	figurative_translate	The underlying principle is that one should not take what is not given.	gi-ath-i githaragio ni gak-a kamwe
2569	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Giathi kiri murugirwo	Social events recognize hierarchy and status.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	gi-ath-i kir-i murugir-wo
2570	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Giathi kiriagwo ni kingi	New priorities replace old ones.	figurative_translate	The underlying principle is that a person's actions and behavior reflect their true character.	gi-ath-i kiri-ag-wo ni kingi
2571	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Giathi kiumu no kia murokero	Achievement often requires suffering.	figurative_translate	The underlying principle is that one should not act in a way that causes harm or inconvenience to others.	gi-ath-i ki-um-u no kia murokero
2572	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gieterero ti kiinaino	Patience is not weakness.	figurative_translate	A person should not be overly concerned with what others say.	gieterero ti kiinaino
2573	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gicegu kia andu aingi ti kiega	Too many people spoil a task.	figurative_translate	The underlying principle is that one should not take what is not given.	giceg-u kia and-u aingi ti ki-ega
2574	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gicigo kia mugunda gitinyihaga	Land is valuable even when small.	figurative_translate	When you are in a difficult situation, you should remain patient and persistent.	gicigo kia mug-und-a gitinyihag-a
2575	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Giikaro kimwe kiri ngee kana ndaa	Stagnation leads to problems.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	giikaro kimwe kir-i nge-e kan-a nda-a
2576	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gikuru kiega no kiratina	Some traditions improve with age.	figurative_translate	The underlying principle is that a person should not be overly concerned with the opinions of others.	gik-ur-u ki-ega no kiratin-a
2577	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gikuu gitiraragirio	Death is unpredictable.	figurative_translate	The underlying principle is that a person should not be overly concerned with the opinions of others.	giku-u gitiraragirio
2578	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Githaka gitigunaga mumi, kigunaga muki	The benefits of labor are often enjoyed by others.	figurative_translate	The underlying principle is that a person's actions and behavior reflect their character and values.	gith-ak-a gitigunag-a mum-i kigunag-a muk-i
2579	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Githaka kia muici ni gukaana	Deceit is central to wrongdoing.	figurative_translate	The underlying principle is that a person should not be overly concerned with the opinions of others.	gith-ak-a kia muic-i ni guka-an-a
2580	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Githumba gitiri murimu wa ngoro	Those with nothing to lose fear little.	figurative_translate	The underlying principle is that a person should not be overly concerned with the opinions of others.	githumb-a git-ir-i mu-rim-u wa ng-oro
2581	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Githuri kiri mwatu wa ngotoko	Pride is stored in the heart.	figurative_translate	The underlying principle is that a person's actions reflect their character.	gith-ur-i kir-i mwat-u wa ngotoko
2582	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitiganiriro kirugitwo ni kirugamanio	Resolving issues early prevents trouble.	figurative_translate	The underlying principle is that failure to act promptly can lead to negative consequences.	gitiganiriro kirugit-wo ni kirugamanio
2583	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitiiro kia muka wene gitikagio athii	Trust is earned over time.	figurative_translate	The underlying principle is that one should not rely on others for what they already have.	giti-iro kia mu-ka wen-e gitikagio athi-i
2584	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitindo kia mucii ni kiuru	Progress requires movement.	figurative_translate	The underlying principle is that one should not take something that is not their own.	gitind-o kia muci-i ni ki-uru
2585	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitoi kimenyaga kierwo	Warning gives preparedness.	figurative_translate	A person should not be overly concerned with others' opinions.	gito-i kimeny-ag-a ki-er-wo
2586	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitoi kiraragia kiui njira	Incompetence hinders progress.	figurative_translate	A person should not be careless with their responsibilities.	gito-i kiraragi-a kiu-i nj-ira
2587	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitonga kigiragio iganjo gikarima	Power enables freedom of action.	figurative_translate	The underlying principle is that actions should be consistent with one's intentions.	gitong-a kigiragio iganjo gikarim-a
2588	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gitonga kiriaga munyuko	Appearances can be deceptive.	figurative_translate	The underlying principle is that a person should not be overly concerned with the opinions of others.	gitong-a kiri-ag-a munyuko
2589	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guceera ni kuhiga	Experience broadens knowledge.	figurative_translate	The underlying principle is that actions speak louder than words.	guce-er-a ni ku-higa
2590	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gucekeha ti guicuhio	Do not despise smallness.	figurative_translate	A person should not be too focused on a single thing.	gucekeh-a ti guicuhio
2591	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guciara kunaga irigu ngingo	Motherhood involves sacrifice and pain.	figurative_translate	The underlying principle is that one should not be overly concerned with minor details.	gu-ciar-a kunag-a irigu ngingo
2592	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guciara uru ti kwenda kwa mwene	Parents do not desire their children’s failure.	figurative_translate	A person should not go away from their family.	gu-ciar-a uru ti kw-end-a kwa mw-en-e
2593	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gucukagwo utaguteo	Gossip is often baseless.	figurative_translate	The underlying principle is that actions should be consistent and not contradictory.	gucukagwo utaguteo
2594	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukiara na gutonga ititiganaga	Fortune changes over time.	figurative_translate	The underlying principle is that one should not be overly concerned with the opinions of others.	guki-ar-a na gutong-a ititiganag-a
2595	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukira kuri ngatho	Silence is virtue.	figurative_translate	The underlying principle is that a person should not be overly concerned with or attached to material possessions.	guk-ir-a kur-i ngath-o
2596	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukira ni guthurana	Silence can signal resentment.	figurative_translate	The underlying principle is that a person's actions reflect their character.	guk-ir-a ni guthuran-a
2597	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukiririria kwagira kieha	Excess leads to remorse.	figurative_translate	When you are in a place, you must take care of it.	gukiririri-a kw-ag-ir-a ki-eha
2598	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukura ni kuuru: ngathii uriri ngicayaga	Aging brings increasing needs.	figurative_translate	When you are in a place, you should not leave it without having done what is necessary.	guk-ur-a ni ku-uru ngathi-i ur-ir-i ngicayag-a
2599	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukuhiriria mbaara tikuo kurua	Presence is not participation.	figurative_translate	The underlying principle is that one should not be overly concerned with the opinions of others.	gukuhiriri-a mba-ara tikuo kur-ua
2600	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gukungagwo utuku ti muthenya	Wrongdoing prefers darkness.	figurative_translate	When you take something from someone else, you must give something in return.	gukungagwo ut-uk-u ti mutheny-a
2601	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guota mwaki ni gucera	No gains without pains.	figurative_translate	The underlying principle is that a person's actions reflect their character.	gu-ot-a mw-ak-i ni guc-era
2602	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guoya utuuragia ukia mucii	Idleness is the key of beggary.	figurative_translate	The underlying principle is that actions should be guided by wisdom and consideration.	guoya utuuragia uki-a muci-i
2603	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guteithagio witeithitie	God helps those who help themselves.	figurative_translate	A single action can lead to multiple consequences.	guteithagio witeithiti-e
2604	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutema na kanua ti gutema na rihiu	Hard words break no bones.	figurative_translate	People who do good things will continue to do good things.	gut-em-a na kan-ua ti gut-em-a na ri-hi-u
2605	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthama nikuo kuhika kwa arume	When in Rome do as Rome does.	figurative_translate	A person who is lazy will not achieve success.	guth-am-a niku-o kuh-ika kwa arum-e
2606	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthekererwo ni andu ti kuririrwo ni hiti	Better to be laughed at than to die.	figurative_translate	The underlying principle is that actions speak louder than words.	guthekererwo ni and-u ti kuririrwo ni hit-i
2607	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthekererwo ti kuririrwo	Do well and dread no shame.	figurative_translate	The principle is that actions should be consistent with one's intentions.	guthekererwo ti kuririrwo
2608	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthekio ti kwendwo	Trust is built over time, not through charm or entertainment.	figurative_translate	A person should not be afraid of others.	guthekio ti kwend-wo
2609	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthigagio mbura gutongitwo matuguta	Hope without preparation leads to failure.	figurative_translate	The underlying principle is that actions should be consistent and reliable.	guthigagio mb-ur-a gutongitwo matugut-a
2610	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthii gutigiragia mundu acoke	Setbacks or departures do not end one’s journey.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	guthi-i gutigiragi-a mund-u acok-e
2611	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthii kuonagia mundu njira.	Experience teaches direction in life.	figurative_translate	The underlying principle is that a person should not rely on others for their own success.	guthi-i ku-onagi-a mund-u nj-ira
2612	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthii ki kuona	Exposure broadens understanding.	figurative_translate	The underlying principle is that one should not take what is not given.	guthi-i ki ku-on-a
2613	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthimba ti kuura	Promises or signs are not results.	figurative_translate	The underlying principle is that one should not act in a way that causes harm or inconvenience to others.	guthimb-a ti ku-ura
2614	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	guthinga kurugite gutonga	Moral character outweighs wealth.	figurative_translate	The underlying principle is that actions should be consistent with one's intentions.	guth-ing-a ku-rugit-e gutong-a
2615	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthinga kikuo kihoto	Integrity gives lasting influence.	figurative_translate	The principle of acting in a way that is consistent and reliable.	guth-ing-a kiku-o ki-hoto
2616	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthura ng’ombe ni guthura kamukwa kayo	Rejecting something means losing all its benefits.	figurative_translate	The principle is that actions should be consistent and not contradictory.	guth-ur-a ng omb-e ni guth-ur-a kamukw-a ka-yo
2617	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthukagirio wanatega itega	Gratitude creates lasting loyalty.	figurative_translate	Those who are not careful will make mistakes.	guthukagirio wanateg-a it-eg-a
2618	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Guthuragwo mundu uriendwo	Early judgment is often wrong.	figurative_translate	A person should not be afraid of others.	guthuragwo mund-u uriendwo
2619	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri gitatuirie kingi	Every effect has a cause.	figurative_translate	The underlying principle is that actions should be consistent and reliable.	gut-iri gitatuiri-e kingi
2620	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri githinji utathinja.	Everyone practices their own trade.	figurative_translate	When you are in a place, you must respect it.	gut-iri githinj-i utathinj-a
2621	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri gukura na kurara keri	Time advances relentlessly.	figurative_translate	A person who is careless with their responsibilities will eventually face consequences.	gut-iri guk-ur-a na kur-ar-a ker-i
2622	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri ita ithiagwwo na gitete kia njohi no gia ucuru	Strength comes from discipline, not indulgence.	figurative_translate	The underlying principle is that actions should be taken with the intention of benefiting others.	gut-iri ita ithiagwwo na git-et-e kia njoh-i no gia uc-ur-u
2623	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mbura itari na gitonga kiayo	Every event brings benefit to someone.	figurative_translate	A person's true nature is revealed by their actions.	gut-iri mb-ur-a it-ar-i na gitong-a ki-ayo
2624	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mucii uri kahii utukarugwo mutwe	Every family has a problematic member.	figurative_translate	The underlying principle is that one should not rely on others for support when facing difficulties.	gut-iri muci-i uri ka-hi-i utukarugwo mut-we
2625	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri muici na mucuthiriria	Silence enables wrongdoing.	figurative_translate	The underlying principle is that one should not rely on others for what they can do themselves.	gut-iri muic-i na mucuthiriri-a
2626	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri muki urehage urugari	One cannot know another’s inner burdens or reliefs.	figurative_translate	The underlying principle is that actions should be consistent and reliable.	gut-iri muk-i urehag-e urugar-i
2627	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mundu ui haria eguthii no haria ekuuma	The future is unknowable.	figurative_translate	People who are always seeking something will never find it.	gut-iri mund-u ui ha-ria eguthi-i no ha-ria ekuum-a
2628	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mundu wendaga gutungana na nyoni njuru	People avoid misfortune instinctively.	figurative_translate	The underlying principle is that a person's actions and behavior are determined by their inner character and values.	gut-iri mund-u wend-ag-a gutungan-a na nyon-i nj-uru
2629	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mundu utangutuika wa ndigwa	No one escapes fate.	figurative_translate	The principle of taking what is not yours and using it for your own benefit.	gut-iri mund-u utangutuik-a wa ndigwa
2630	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mundu wonaga wega wake, no kuonwo wonagwo	Reputation is judged externally.	figurative_translate	People who are not careful with their words may lose their ability to speak clearly.	gut-iri mund-u wonag-a wega wak-e no ku-on-wo wonag-wo
2631	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri murio utainagia ruthia	Even small pleasures matter.	figurative_translate	When a person dies, their family is left without a provider.	gut-iri muri-o utainagi-a ruthi-a
2632	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri muthenya ukiaga ta ungi	Each day brings new circumstances.	figurative_translate	The underlying principle is that actions should be guided by reason and wisdom.	gut-iri mutheny-a uki-ag-a ta ung-i
2633	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mutumia wenjagirwo mbui kwa nyina	Marriage permanently changes social ties.	figurative_translate	The underlying principle is that one should not be overly concerned with or focused on minor details.	gut-iri mutumi-a wenjagirwo mbu-i kwa ny-in-a
2634	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri mwana ungitema agitemera ithe	Children sacrifice less for parents than parents do for them.	figurative_translate	The principle is that a child should not be overly concerned with the opinions of others.	gut-iri mw-an-a ungitem-a agitemer-a ith-e
2635	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri ngware itari muhuririe wayo	There are many ways to solve problems.	figurative_translate	The underlying principle is that actions should be consistent with one's intentions.	gut-iri ngwar-e it-ar-i muhuriri-e wa-yo
2636	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri ngware nyinyi mahuririo-ini	Everyone shows strength when defending themselves.	figurative_translate	The principle of acting with integrity and honesty in all dealings.	gut-iri ngwar-e nyiny-i mahuririo ini
2637	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri njamba irumaga imera igiri	Power is temporary.	figurative_translate	The underlying principle is that actions should be consistent and reliable.	gut-iri nj-amb-a irumag-a im-er-a ig-ir-i
2638	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri nyama na ngirinyu	Necessity removes preference.	figurative_translate	A person's actions and words reflect their character.	gut-iri ny-am-a na ngiriny-u
2639	qwen3-4b-gen_eng_fig-Kenya	gikuyu	bantu	Gutiri nyoni njega mwere-ini	Even good things can have flaws.	figurative_translate	A person's actions reflect their character.	gut-iri nyon-i nj-eg-a mw-er-e ini
