,Unnamed: 0,experiment_config,language,language_family,african_proverb,label,Output Type,morpheme_breaks,who,translation
30943,183319,grok-4.1-fast-gen-eng-literal-Kenya,gikuyu,bantu,Kiruka gia kimbu gitithiragwo ni mung’ung’utu,Every chameleon has a protruding backbone.,leteral_translate,ki-ruk-a gia kimb-u gitithirag-wo ni mung ung utu,,
5782,35293,smollm3-3b-gen_eng_literal-Kenya,gikuyu,bantu,Kumenya muno ni kumenyuka,Knowing too much is ignorance.,leteral_translate,kumeny-a mun-o ni kumenyuk-a,,
31162,183538,grok-4.1-fast-gen-eng-literal-Kenya,gikuyu,bantu,Mundu muigwa ni muhootani,The obedient man gets through.,leteral_translate,mund-u mu-ig-wa ni muhootan-i,,
4716,29980,gemma3-4b-it-gen_eng_literal-Kenya,gikuyu,bantu,Gutiri mundu ui haria eguthii no haria ekuuma,"No one knows where he goes, only where he comes from.",leteral_translate,gut-iri mund-u ui ha-ria eguthi-i no ha-ria ekuum-a,,
1233,7802,qwen3-4b-gen_eng_literal-Kenya,gikuyu,bantu,Matumbi ma njamba matituranaga,Male eggs do not hatch each other.,leteral_translate,matumb-i ma nj-amb-a matituranag-a,,
4700,29964,gemma3-4b-it-gen_eng_literal-Kenya,gikuyu,bantu,Guthii kuonagia mundu njira.,Travelling shows a person the way.,leteral_translate,guthi-i ku-onagi-a mund-u nj-ira,,
4723,29987,gemma3-4b-it-gen_eng_literal-Kenya,gikuyu,bantu,Gutiri mwana ungitema agitemera ithe,A son does not cut his finger cutting meat for his father.,leteral_translate,gut-iri mw-an-a ungitem-a agitemer-a ith-e,,
25534,148515,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Kwigita ti guoya,Preparation is not fear.,leteral_translate,kwigit-a ti guoya,,
36129,214594,minmax-gen-eng-literal-Kenya,gikuyu,bantu,Ithaga riene rinogagia ngingo,Borrowed ornaments tire the neck.,leteral_translate,ith-ag-a ri-en-e rinogagi-a ngingo,,
13590,80742,kimi-k2-gen-eng-literal-Kenya,gikuyu,bantu,Maundu ni ndiganiro,Important things are kept locked.,leteral_translate,ma-undu ni ndiganiro,,
25410,148391,gpt-5-mini-gen-eng-literal-Kenya,gikuyu,bantu,Kahii ka mwathi kamenyaga kugereka,The hunter’s son knows how to hunt.,leteral_translate,ka-hi-i ka mw-ath-i kamenyag-a kugerek-a,,
33913,201381,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Gutiri mundu ui haria eguthii no haria ekuuma,"No one knows where he goes, only where he comes from.",leteral_translate,gut-iri mund-u ui ha-ria eguthi-i no ha-ria ekuum-a,,
17143,98991,kimi-k2-gen-eng-literal-Kenya,gikuyu,bantu,Mburi ti marigu,Goats are not like bananas.,leteral_translate,mb-ur-i ti ma-rig-u,,
18509,105904,gemini3-flasth-gen-eng-literal-Kenya,gikuyu,bantu,Mundu muka na iguru itimenyagirwo,Woman and the sky cannot be understood.,leteral_translate,mund-u mu-ka na iguru itimenyagirwo,,
34271,201739,llama3.2-3b-it-gen-eng-literal-Kenya,gikuyu,bantu,Muhoreri ndari ngui,The quiet one has no troubles.,leteral_translate,muhorer-i nd-ar-i ngu-i,,
40596,242306,qwen3-4b-gen-eng-literal-Kenya,gikuyu,bantu,Gitoi kimenyaga kierwo,One who did not know learns when told.,leteral_translate,gito-i kimeny-ag-a ki-er-wo,,
20496,118386,gemini3-flasth-gen-eng-literal-Tanzania,gikuyu,bantu,Kihooto ni indo,A good argument is wealth.,leteral_translate,kihooto ni ind-o,,
